checkpoint,push_score,no_push_score,no_push_success,small_recovery,small_score,hard_recovery,hard_score
original_500k,67.620702,57.251029,0.8000,0.7750,52.741379,0.0000,17.218220
push_gentle_lr5e5_575736_steps,53.688311,47.417572,0.6000,0.5750,44.115698,0.0250,15.450898
push_gentle_lr5e5_550736_steps,48.517231,41.555832,0.8000,0.5750,32.228204,0.0000,12.912199
final_100k,46.171247,49.550460,0.6000,0.4000,38.539519,0.0000,16.345546
push_gentle_lr5e5_600736_steps,44.563982,48.592600,0.6000,0.3750,37.387130,0.0000,15.514121
push_gentle_lr5e5_525736_steps,44.326741,44.550588,0.6000,0.4250,34.637357,0.0250,16.769798
