condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1633.328863,827.80,0.8000,0.6000,42.485122,4.646450,29.772657,41.555832
+x_5,5,1625.821164,827.80,0.8000,0.8000,42.110322,5.379938,29.127752,41.034335
-x_5,5,1551.974088,827.80,0.8000,0.8000,38.419912,4.049126,25.977327,37.610087
+y_5,5,1618.164837,827.80,0.8000,0.8000,41.721600,5.468478,29.008779,40.627905
-y_5,5,1653.082421,827.80,0.8000,0.8000,43.473646,3.266764,30.764122,42.820293
+x_10,5,1336.534848,785.80,0.6000,0.4000,29.664793,2.919706,16.426661,29.080852
-x_10,5,1031.471616,827.80,0.8000,0.0000,12.420938,3.312245,0.342357,11.758489
+y_10,5,1614.165772,827.80,0.8000,0.8000,41.536537,7.150219,28.804850,40.106494
-y_10,5,726.984957,438.00,0.2000,0.2000,15.642784,4.278030,2.957968,14.787178
+x_25,5,619.791936,280.80,0.0000,0.0000,17.710307,2.924718,3.262443,17.125364
-x_25,5,450.722768,286.80,0.0000,0.0000,8.976570,2.970846,-1.911453,8.382401
+y_25,5,557.911019,285.60,0.0000,0.0000,14.393027,5.313723,1.672862,13.330282
-y_25,5,667.064448,413.40,0.2000,0.0000,13.810451,5.535345,12.316784,12.703382
+x_50,5,647.567488,276.80,0.0000,0.0000,19.293343,3.044998,16.729423,18.684343
-x_50,5,437.658725,276.80,0.0000,0.0000,8.790268,2.999939,8.420181,8.190280
+y_50,5,554.769761,282.40,0.0000,0.0000,14.385289,9.699063,1.735754,12.445477
-y_50,5,539.532940,275.80,0.0000,0.0000,13.937837,7.508884,12.426438,12.436060
