condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1658.710595,731.80,0.6000,0.6000,48.305412,4.439197,33.094876,47.417572
+x_5,5,1698.976756,756.00,0.6000,0.6000,49.173772,2.892911,33.618287,48.595190
-x_5,5,1751.627691,783.80,0.6000,0.6000,50.485373,1.817486,35.619694,50.121875
+y_5,5,1639.985020,814.00,0.8000,0.6000,43.478285,2.710849,28.273594,42.936115
-y_5,5,1846.603907,814.00,0.8000,0.8000,53.795982,2.052531,38.612024,53.385475
+x_10,5,1701.469137,814.00,0.8000,0.8000,46.561770,2.332285,30.633232,46.095313
-x_10,5,1128.105141,685.60,0.6000,0.2000,23.985282,3.581499,9.483894,23.268982
+y_10,5,1382.241915,695.80,0.4000,0.2000,36.188351,3.604698,20.987980,35.467411
-y_10,5,1843.055392,814.00,0.8000,0.8000,53.637043,2.909104,38.455929,53.055222
+x_25,5,817.957421,401.80,0.2000,0.2000,21.906855,2.742569,4.811332,21.358341
-x_25,5,732.588736,540.40,0.4000,0.0000,11.079636,3.106275,-2.200864,10.458381
+y_25,5,574.435093,272.40,0.0000,0.0000,15.839826,3.682816,0.644586,15.103263
-y_25,5,560.798057,260.80,0.0000,0.0000,15.709970,4.418392,15.709970,14.826292
+x_50,5,710.344625,264.60,0.0000,0.0000,23.006677,3.029465,13.719401,22.400784
-x_50,5,480.089852,261.60,0.0000,0.0000,11.627461,3.141454,6.156359,10.999170
+y_50,5,574.107024,270.60,0.0000,0.0000,15.912271,10.615976,0.754224,13.789076
-y_50,5,560.051622,259.60,0.0000,0.0000,15.729348,5.287364,15.729348,14.671875
