condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1707.247738,769.80,0.6000,0.6000,48.953865,1.806328,35.098614,48.592600
+x_5,5,1567.650405,694.20,0.4000,0.4000,45.559194,5.618603,31.390542,44.435474
-x_5,5,1603.425894,724.20,0.6000,0.6000,45.918306,2.884055,32.408379,45.341495
+y_5,5,1754.361007,846.20,0.8000,0.8000,47.706923,3.057154,33.830065,47.095492
-y_5,5,1722.986097,772.00,0.4000,0.4000,49.639404,4.685501,35.817390,48.702304
+x_10,5,1353.929001,589.20,0.2000,0.2000,39.827090,4.943805,25.310300,38.838330
-x_10,5,1087.552288,846.20,0.8000,0.0000,14.386121,4.078699,1.216388,13.570381
+y_10,5,1183.518464,710.00,0.6000,0.2000,25.625326,2.831901,11.779070,25.058945
-y_10,5,1327.897525,612.00,0.4000,0.4000,37.459457,7.024169,27.279484,36.054623
+x_25,5,686.544415,298.80,0.0000,0.0000,20.204772,3.594802,4.581671,19.485811
-x_25,5,672.947477,433.40,0.2000,0.0000,13.165327,3.531459,1.121370,12.459035
+y_25,5,627.902777,305.00,0.0000,0.0000,16.977962,4.460771,3.184023,16.085808
-y_25,5,606.312341,294.40,0.0000,0.0000,16.403007,5.497229,13.085224,15.303561
+x_50,5,704.110368,294.80,0.0000,0.0000,21.274194,3.761079,17.040543,20.521978
-x_50,5,488.246327,296.00,0.0000,0.0000,10.416568,3.195171,7.924831,9.777533
+y_50,5,605.915563,296.80,0.0000,0.0000,16.267075,4.793632,9.925146,15.308348
-y_50,5,601.311488,291.60,0.0000,0.0000,16.284765,5.569341,16.284765,15.170897
