condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,1990.008481,891.80,0.8000,57.240462,2.088527,56.822757
randomized,5,2194.507990,1000.00,1.0000,62.349710,1.770877,61.995535
