condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,2008.432069,899.60,0.8000,57.821922,2.854468,57.251029
randomized,5,2008.432069,899.60,0.8000,57.821922,2.854468,57.251029
