condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,1327.431039,609.80,0.4000,37.452436,3.936118,36.665212
randomized,5,1327.431039,609.80,0.4000,37.452436,3.936118,36.665212
