condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2293.659403,1000,False,True,67.201914,-4.250410,66.351832
nominal,1,1.000000,1.000000,1.000000,2158.535853,1000,False,True,60.485903,-1.323692,60.221164
nominal,2,1.000000,1.000000,1.000000,2264.577044,1000,False,True,65.755212,-7.546202,64.245972
nominal,3,1.000000,1.000000,1.000000,2258.766809,1000,False,True,65.469870,-14.734842,62.522902
nominal,4,1.000000,1.000000,1.000000,2289.587635,1000,False,True,67.010097,-4.174615,66.175174
randomized,0,1.054785,0.861872,0.724584,2177.736833,1000,False,True,61.451262,2.440502,60.963162
randomized,1,0.806611,1.187962,1.247653,1352.770428,611,True,False,38.655325,-2.528698,38.149585
randomized,2,1.042654,1.137698,1.026175,2242.008880,1000,False,True,64.652463,-3.545090,63.943445
randomized,3,1.174029,1.189512,0.701643,2189.474947,1000,False,True,62.000625,-5.524636,60.895698
randomized,4,1.142962,0.720151,1.137793,2155.989153,1000,False,True,60.384396,-12.383780,57.907640
