condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,1907.125800,852.20,0.6000,54.917213,5.703610,53.776491
randomized,5,1916.557370,872.00,0.6000,54.448199,5.185875,53.411024
