condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,10,1913.689611,864.90,0.8000,54.699907,2.035336,54.292839
randomized,10,1947.167974,887.10,0.8000,55.327793,1.614681,55.004857
