condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2293.659403,1000,False,True,67.201914,-4.250410,66.351832
nominal,1,1.000000,1.000000,1.000000,2158.535853,1000,False,True,60.485903,-1.323692,60.221164
nominal,2,1.000000,1.000000,1.000000,2264.577044,1000,False,True,65.755212,-7.546202,64.245972
nominal,3,1.000000,1.000000,1.000000,2258.766809,1000,False,True,65.469870,-14.734842,62.522902
nominal,4,1.000000,1.000000,1.000000,2289.587635,1000,False,True,67.010097,-4.174615,66.175174
randomized,0,1.109569,0.769787,0.540974,2203.949881,1000,False,True,62.763658,-1.337754,62.496107
randomized,1,0.613222,1.313270,1.412756,100.963589,59,True,False,2.260129,-0.916200,2.076889
randomized,2,1.085309,1.229497,1.043625,69.978982,59,True,False,0.718533,-2.023010,0.313931
randomized,3,1.348058,1.315854,0.502739,2057.409183,1000,False,True,55.416175,-1.443969,55.127381
randomized,4,1.285923,0.533586,1.229655,2132.631519,1000,False,True,59.206970,-15.277378,56.151495
