condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,2253.025349,1000.00,1.0000,65.184599,6.405952,63.903409
randomized,5,2253.025349,1000.00,1.0000,65.184599,6.405952,63.903409
