condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1763.807389,791.60,0.6000,0.6000,50.829764,4.572634,36.000507,49.915237
+x_5,5,1860.533588,821.60,0.8000,0.8000,54.247235,3.553273,39.086488,53.536580
-x_5,5,1627.638360,803.60,0.6000,0.4000,43.442532,4.691899,28.939129,42.504152
+y_5,5,1689.875456,821.60,0.8000,0.8000,45.706601,2.887162,30.887073,45.129169
-y_5,5,1626.330992,719.40,0.4000,0.4000,47.356682,5.449404,32.506186,46.266802
+x_10,5,1849.007513,821.60,0.8000,0.8000,53.666031,4.403693,38.153044,52.785292
-x_10,5,1060.635957,821.60,0.8000,0.0000,14.252678,3.154231,0.124381,13.621831
+y_10,5,1000.845924,541.20,0.2000,0.2000,24.499347,1.283708,9.713256,24.242605
-y_10,5,1217.307880,555.80,0.4000,0.4000,34.635794,5.755399,19.830507,33.484714
+x_25,5,620.200019,270.20,0.0000,0.0000,18.258294,3.031386,5.740449,17.652016
-x_25,5,513.650659,274.00,0.0000,0.0000,12.749181,2.852610,3.010961,12.178659
+y_25,5,594.991560,280.00,0.0000,0.0000,16.535859,3.554085,1.762123,15.825042
-y_25,5,575.462852,269.60,0.0000,0.0000,16.050288,4.952847,8.627586,15.059719
+x_50,5,668.307418,269.80,0.0000,0.0000,20.683381,3.113750,11.120485,20.060631
-x_50,5,503.308600,268.80,0.0000,0.0000,12.472830,2.906237,9.932668,11.891582
+y_50,5,580.044569,274.60,0.0000,0.0000,16.042959,6.811175,5.239275,14.680724
-y_50,5,569.491511,266.60,0.0000,0.0000,15.892976,4.808628,15.892976,14.931250
