checkpoint,push_score,no_push_score,no_push_success,small_recovery,small_score,hard_recovery,hard_score
original_500k,67.620702,57.251029,0.8000,0.7750,52.741379,0.0000,17.218220
final_100k,51.173285,55.060263,0.8000,0.4750,37.701733,0.0000,16.691986
push_aware_lr5e5_600736_steps,48.995056,49.915237,0.6000,0.4750,38.946393,0.0000,15.284953
push_aware_lr5e5_575736_steps,42.639257,48.133290,0.6000,0.3250,36.011726,0.0750,16.903316
push_aware_lr5e5_525736_steps,42.310948,44.181149,0.4000,0.4000,34.889346,0.0250,14.406641
push_aware_lr5e5_550736_steps,37.982804,41.491948,0.6000,0.3000,32.194176,0.0250,12.845168
