condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,737.410140,329,True,False,21.308337,-0.250941,1.380842,21.258149
no_push,1,0.0000,none,2127.140672,898,True,False,63.909090,-4.604134,44.576561,62.988263
no_push,2,0.0000,none,2254.957002,1000,False,True,65.476388,-3.531597,47.435055,64.770068
no_push,3,0.0000,none,2364.708133,1000,False,True,70.964856,-3.926729,51.755669,70.179510
no_push,4,0.0000,none,93.298181,59,True,False,1.887130,-0.886869,1.887130,1.709756
+x_5,0,5.0000,+x,1134.622724,490,True,False,33.541585,-0.878117,13.303577,33.365961
+x_5,1,5.0000,+x,2192.983914,969,True,False,63.867093,-2.542355,44.131154,63.358623
+x_5,2,5.0000,+x,1085.796791,492,True,False,31.044526,-2.889204,12.476004,30.466685
+x_5,3,5.0000,+x,2210.383095,1000,False,True,63.237685,-10.283772,43.738178,61.180931
+x_5,4,5.0000,+x,93.298181,59,True,False,1.887130,-0.886869,1.887130,1.709756
-x_5,0,5.0000,-x,2341.046421,1000,False,True,69.736522,0.631277,50.276909,69.610267
-x_5,1,5.0000,-x,2311.407155,1000,False,True,68.290193,-0.964493,49.493318,68.097294
-x_5,2,5.0000,-x,2173.840390,1000,False,True,61.423142,1.955286,43.858884,61.032085
-x_5,3,5.0000,-x,667.677065,311,True,False,18.700708,-4.867860,-0.003317,17.727136
-x_5,4,5.0000,-x,93.298181,59,True,False,1.887130,-0.886869,1.887130,1.709756
+y_5,0,5.0000,+y,1924.826513,851,True,False,56.003646,3.468214,36.259237,55.310003
+y_5,1,5.0000,+y,1752.436955,790,True,False,50.308718,2.303774,31.007957,49.847963
+y_5,2,5.0000,+y,2163.739553,1000,False,True,60.908326,0.115591,42.863574,60.885208
+y_5,3,5.0000,+y,2283.442812,1000,False,True,66.930253,-4.227204,47.777853,66.084812
+y_5,4,5.0000,+y,93.298181,59,True,False,1.887130,-0.886869,1.887130,1.709756
-y_5,0,5.0000,-y,2291.788703,1000,False,True,67.291200,1.230493,47.339863,67.045102
-y_5,1,5.0000,-y,2211.648058,1000,False,True,63.323289,2.596883,44.046241,62.803912
-y_5,2,5.0000,-y,2227.447202,1000,False,True,64.099838,-2.055106,46.109354,63.688817
-y_5,3,5.0000,-y,1598.833379,719,True,False,45.958969,-5.374059,26.803123,44.884158
-y_5,4,5.0000,-y,93.298181,59,True,False,1.887130,-0.886869,1.887130,1.709756
+x_10,0,10.0000,+x,2371.120682,1000,False,True,71.271089,-0.213080,50.612378,71.228473
+x_10,1,10.0000,+x,725.626245,316,True,False,21.356380,-2.137473,1.123965,20.928886
+x_10,2,10.0000,+x,1375.762326,1000,False,True,21.589092,-2.631007,2.628788,21.062891
+x_10,3,10.0000,+x,1295.906646,559,True,False,38.381564,-3.800910,18.377478,37.621382
+x_10,4,10.0000,+x,93.298181,59,True,False,1.887130,-0.886869,1.887130,1.709756
-x_10,0,10.0000,-x,1298.335895,1000,False,True,17.688345,-0.530957,-1.304742,17.582154
-x_10,1,10.0000,-x,732.982010,350,True,False,20.116405,-2.001214,1.842150,19.716163
-x_10,2,10.0000,-x,1240.896534,1000,False,True,14.856480,-2.981715,-2.267434,14.260137
-x_10,3,10.0000,-x,657.226558,310,True,False,18.227268,-5.004323,18.227268,17.226404
-x_10,4,10.0000,-x,93.298181,59,True,False,1.887130,-0.886869,1.887130,1.709756
+y_10,0,10.0000,+y,707.037234,319,True,False,20.261482,1.261011,0.386819,20.009280
+y_10,1,10.0000,+y,1347.940213,1000,False,True,20.211710,2.313498,1.011250,19.749011
+y_10,2,10.0000,+y,1294.656250,1000,False,True,17.560327,-0.221134,-0.553751,17.516100
+y_10,3,10.0000,+y,1335.024105,1000,False,True,19.572046,-1.751675,0.450407,19.221711
+y_10,4,10.0000,+y,93.298181,59,True,False,1.887130,-0.886869,1.887130,1.709756
-y_10,0,10.0000,-y,2209.908137,1000,False,True,63.252050,-2.959194,43.307659,62.660211
-y_10,1,10.0000,-y,2267.470289,1000,False,True,66.091046,-5.123946,46.921336,65.066257
-y_10,2,10.0000,-y,2265.099353,1000,False,True,65.967003,-6.756865,48.174500,64.615630
-y_10,3,10.0000,-y,680.375208,312,True,False,19.287904,-6.228907,0.169581,18.042123
