condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1452.646056,646.00,0.6000,0.6000,42.087714,2.978831,30.406203,41.491948
+x_5,5,1460.322868,646.00,0.6000,0.6000,42.474199,1.940351,30.546739,42.086129
-x_5,5,1450.894359,646.00,0.6000,0.6000,42.007994,2.439747,30.600374,41.520045
+y_5,5,1426.036329,646.00,0.6000,0.6000,40.762892,3.726743,29.082491,40.017543
-y_5,5,1417.792517,636.20,0.4000,0.4000,40.814509,3.116591,29.134071,40.191190
+x_10,5,1067.757400,467.60,0.0000,0.0000,31.280569,1.982283,19.084774,30.884113
-x_10,5,860.871678,646.00,0.6000,0.0000,12.542701,2.152651,1.389754,12.112170
+y_10,5,990.774055,534.20,0.2000,0.0000,24.303575,3.108968,12.612110,23.681781
-y_10,5,1108.137682,589.60,0.4000,0.2000,27.553149,2.463557,15.851149,27.060437
+x_25,5,550.076090,235.20,0.0000,0.0000,16.394486,2.079791,7.500688,15.978528
-x_25,5,550.171075,375.20,0.2000,0.0000,9.789284,1.592579,-0.565633,9.470768
+y_25,5,634.929367,374.60,0.2000,0.2000,14.061041,5.458968,2.422809,12.969247
-y_25,5,496.354804,233.80,0.0000,0.0000,13.775544,4.136272,2.115126,12.948290
+x_50,5,543.735145,231.40,0.0000,0.0000,16.259408,2.021108,16.259408,15.855186
-x_50,5,432.090184,232.00,0.0000,0.0000,10.643061,1.912418,7.397035,10.260578
+y_50,5,495.900528,234.40,0.0000,0.0000,13.722522,6.187848,2.129712,12.484952
-y_50,5,488.750778,230.40,0.0000,0.0000,13.556868,3.815366,13.556868,12.793794
