condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1688.716669,754.00,0.6000,0.6000,48.805663,3.361863,33.495624,48.133290
+x_5,5,1441.085578,629.80,0.4000,0.4000,42.289665,1.805003,26.598446,41.928665
-x_5,5,1446.426577,645.60,0.2000,0.2000,41.798336,3.785678,26.823510,41.041200
+y_5,5,1580.416264,701.80,0.6000,0.6000,45.858197,2.287355,30.548625,45.400726
-y_5,5,1480.468930,659.80,0.4000,0.4000,42.836440,6.272743,27.524909,41.581891
+x_10,5,1239.335949,618.40,0.4000,0.4000,32.748577,1.742416,16.691098,32.400094
-x_10,5,925.593961,678.20,0.6000,0.0000,14.248781,2.439655,-0.391298,13.760850
+y_10,5,1290.753912,653.80,0.4000,0.2000,33.637209,3.175620,18.296245,33.002085
-y_10,5,1492.909539,741.80,0.6000,0.4000,39.585136,3.034173,24.246134,38.978301
+x_25,5,618.869997,265.20,0.0000,0.0000,18.412936,2.465523,1.262578,17.919832
-x_25,5,488.952501,272.40,0.0000,0.0000,11.576091,2.239514,-1.990868,11.128188
+y_25,5,708.499847,406.20,0.2000,0.2000,16.230623,4.055693,0.967154,15.419484
-y_25,5,1128.068402,539.40,0.4000,0.4000,30.932171,6.767277,23.503035,29.578716
+x_50,5,680.190674,264.80,0.0000,0.0000,21.500522,2.465961,16.328683,21.007330
-x_50,5,470.040829,264.60,0.0000,0.0000,10.994787,2.711205,5.482279,10.452546
+y_50,5,575.625121,267.20,0.0000,0.0000,16.157043,6.437759,8.613836,14.869491
-y_50,5,568.678566,262.80,0.0000,0.0000,16.019289,5.841746,11.996799,14.850940
