condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,2213.595224,1000.00,1.0000,1.0000,63.375343,1.972034,45.389640,62.980936
+x_5,5,1921.378762,868.00,0.6000,0.6000,55.018993,2.341758,36.606877,54.550642
-x_5,5,1862.696978,856.00,0.6000,0.6000,52.640764,2.932007,35.075233,52.054363
+y_5,5,2224.359727,1000.00,1.0000,1.0000,63.917252,3.041845,45.915639,63.308883
-y_5,5,2211.031853,1000.00,1.0000,1.0000,63.245883,2.047157,45.248315,62.836452
+x_10,5,1875.504635,836.80,0.6000,0.6000,54.200573,3.487261,35.353158,53.503121
-x_10,5,1328.336402,954.00,0.8000,0.0000,21.295419,2.840761,4.221677,20.727267
+y_10,5,1586.185466,728.20,0.6000,0.6000,44.864441,1.402847,26.883701,44.583871
-y_10,5,1891.650179,862.20,0.8000,0.8000,53.801406,2.649573,35.876367,53.271492
+x_25,5,729.880534,313.40,0.0000,0.0000,21.674775,3.103011,5.342148,21.054173
-x_25,5,793.285062,593.60,0.4000,0.0000,11.583736,3.435074,-4.080662,10.896721
+y_25,5,671.518690,322.40,0.0000,0.0000,18.330962,4.051640,0.375326,17.520634
-y_25,5,901.997024,446.80,0.2000,0.2000,23.980638,7.528872,20.894626,22.474864
+x_50,5,801.474855,311.80,0.0000,0.0000,25.333107,3.263095,16.285971,24.680488
-x_50,5,503.567482,312.00,0.0000,0.0000,10.418891,3.126441,3.279241,9.793603
+y_50,5,652.458375,318.00,0.0000,0.0000,17.584195,9.225854,3.236196,15.739024
-y_50,5,646.046187,308.20,0.0000,0.0000,17.732561,7.184346,14.669990,16.295692
