condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
+x_50,4,50.0000,+x,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
-x_50,0,50.0000,-x,561.056135,309,True,False,13.451283,-4.410069,13.451283,12.569269
-x_50,1,50.0000,-x,508.167847,311,True,False,10.699136,-1.566332,-1.002432,10.385869
-x_50,2,50.0000,-x,514.544357,310,True,False,11.088192,-2.819395,11.088192,10.524313
-x_50,3,50.0000,-x,575.843524,307,True,False,14.265534,-2.765729,14.265534,13.712388
-x_50,4,50.0000,-x,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
+y_50,0,50.0000,+y,645.179464,313,True,False,17.468550,4.190886,-0.061637,16.630373
+y_50,1,50.0000,+y,647.071168,321,True,False,17.182382,14.382089,0.358018,14.305964
+y_50,2,50.0000,+y,616.212955,313,True,False,16.031966,5.319396,0.150295,14.968087
+y_50,3,50.0000,+y,636.252066,309,True,False,17.193774,1.614053,17.193774,16.870964
+y_50,4,50.0000,+y,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
-y_50,0,50.0000,-y,638.183212,306,True,False,17.457161,-6.411096,17.457161,16.174941
-y_50,1,50.0000,-y,627.643705,308,True,False,16.827411,-4.883784,16.827411,15.850654
-y_50,2,50.0000,-y,618.480295,309,True,False,16.346965,-7.155924,16.346965,14.915780
-y_50,3,50.0000,-y,629.584938,313,True,False,16.675577,-12.455451,-0.225254,14.184487
-y_50,4,50.0000,-y,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
