condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1773.427199,813.80,0.6000,0.6000,50.161527,3.062453,32.559248,49.549036
+x_5,5,2106.839744,958.00,0.8000,0.8000,60.000196,1.544711,41.953649,59.691253
-x_5,5,2000.054355,1000.00,1.0000,0.8000,52.681073,3.176967,35.514835,52.045679
+y_5,5,2009.861253,922.00,0.8000,0.8000,56.862514,1.695031,39.230749,56.523507
-y_5,5,2175.621802,1000.00,1.0000,1.0000,61.453819,2.454948,43.888326,60.962829
+x_10,5,1868.778592,1000.00,1.0000,1.0000,46.130610,2.621593,27.671957,45.606291
-x_10,5,1431.518327,1000.00,1.0000,0.2000,24.277066,3.296565,7.587072,23.617753
+y_10,5,1347.044220,632.60,0.4000,0.4000,37.422804,2.287643,19.778310,36.965276
-y_10,5,1901.553096,862.40,0.8000,0.8000,54.261752,3.659467,36.733200,53.529859
+x_25,5,763.562108,319.40,0.0000,0.0000,23.073013,2.536268,3.224985,22.565760
-x_25,5,532.307377,322.80,0.0000,0.0000,11.350475,2.298366,-3.903066,10.890802
+y_25,5,844.317217,459.00,0.2000,0.2000,20.515190,8.909090,2.909843,18.733372
-y_25,5,643.122200,309.20,0.0000,0.0000,17.535316,4.430832,13.796347,16.649150
+x_50,5,743.857011,309.60,0.0000,0.0000,22.553582,2.624776,13.069627,22.028626
-x_50,5,533.619425,310.20,0.0000,0.0000,12.004042,2.487565,7.157186,11.506529
+y_50,5,652.064138,314.80,0.0000,0.0000,17.716567,7.555052,7.213847,16.205557
-y_50,5,639.702733,308.80,0.0000,0.0000,17.384744,7.050689,14.117426,15.974606
