condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1987.444820,893.80,0.8000,0.8000,57.080128,3.860906,39.067353,56.307947
+x_5,5,2210.311364,986.00,0.8000,0.8000,63.841300,2.261432,45.389494,63.389014
-x_5,5,2013.249413,990.20,0.8000,0.8000,53.795687,3.061538,36.213789,53.183380
+y_5,5,2070.821881,934.00,0.8000,0.8000,59.339037,2.355508,41.293216,58.867936
-y_5,5,2040.537531,959.80,0.8000,0.8000,56.606009,3.751183,38.604898,55.855772
+x_10,5,1464.769593,732.60,0.6000,0.6000,38.568179,3.247675,19.676382,37.918644
-x_10,5,1264.786358,1000.00,1.0000,0.0000,15.894272,2.389583,-1.236982,15.416355
+y_10,5,1243.170135,728.00,0.6000,0.4000,27.700242,2.042560,9.641197,27.291730
-y_10,5,1265.359097,587.60,0.4000,0.4000,35.465183,4.226182,17.546243,34.619946
+x_25,5,730.472639,313.60,0.0000,0.0000,21.686372,2.262136,5.340870,21.233945
-x_25,5,677.940013,455.00,0.2000,0.0000,12.372198,2.558000,-3.391820,11.860598
+y_25,5,671.341440,322.40,0.0000,0.0000,18.314402,6.675306,0.293549,16.979341
-y_25,5,786.059569,450.20,0.2000,0.0000,17.998967,5.568610,3.530967,16.885246
+x_50,5,783.419580,311.00,0.0000,0.0000,24.460673,2.296585,15.200570,24.001356
-x_50,5,530.120684,310.80,0.0000,0.0000,11.795912,2.361140,9.462432,11.323684
+y_50,5,649.869076,309.40,0.0000,0.0000,17.854143,3.380860,17.854143,17.177971
-y_50,5,645.942461,306.80,0.0000,0.0000,17.784567,3.596625,17.784567,17.065242
