rank,frequency,action_sign,action_scale,knee_action_scale,trials,mean_return,mean_length,success_rate,mean_x_displacement,mean_y_displacement,mean_forward_score,std_forward_score,rank_score
43,1.0000,-1.0,0.4000,0.2000,3,110.109698,107.67,0.0000,1.204917,-0.458616,1.094563,0.828333,1.632896
44,0.4000,1.0,0.2000,0.5000,3,209.434385,300.00,1.0000,-0.178281,-1.004558,-0.379192,1.306334,1.620808
45,0.4000,-1.0,0.2000,0.3000,3,218.481467,245.67,0.6667,0.238817,-1.085660,0.021685,1.452540,1.583352
46,0.8000,-1.0,0.3000,0.3000,3,186.822189,201.00,0.0000,1.100102,-2.621116,0.575878,0.814124,1.580878
47,0.4000,-1.0,0.1000,0.3000,3,217.078402,228.00,0.3333,0.586270,-1.596239,0.267022,0.271315,1.573689
48,0.4000,1.0,0.3000,0.2000,3,270.463277,300.00,1.0000,0.473166,-4.499921,-0.426818,1.428475,1.573182
49,0.4000,1.0,0.4000,0.4000,3,196.342713,300.00,1.0000,-0.382860,-0.332540,-0.464539,1.651188,1.535461
50,1.0000,-1.0,0.2000,0.3000,3,242.006619,276.33,0.6667,0.079153,-1.377284,-0.196304,0.625665,1.518696
51,0.4000,-1.0,0.5000,0.2000,3,217.151576,300.00,1.0000,0.207737,-3.697341,-0.531731,1.412624,1.468269
52,0.6000,-1.0,0.2000,0.2000,3,132.816423,122.33,0.0000,1.013474,-0.384558,0.854274,1.334828,1.465941
53,1.0000,-1.0,0.2000,0.4000,3,231.579306,300.00,1.0000,-0.421036,0.563923,-0.534517,0.616097,1.465483
54,0.8000,1.0,0.3000,0.1000,3,281.048382,300.00,1.0000,0.552419,-5.553419,-0.558265,4.334151,1.441735
55,0.4000,1.0,0.1000,0.2000,3,292.769075,300.00,1.0000,0.388474,-5.050310,-0.621588,1.513282,1.378412
56,0.4000,1.0,0.1000,0.1000,3,302.836711,300.00,1.0000,0.441830,-5.490804,-0.656330,0.467680,1.343670
57,0.6000,1.0,0.1000,0.5000,3,216.577173,300.00,1.0000,-0.271146,-2.011831,-0.673512,0.402337,1.326488
58,0.6000,1.0,0.3000,0.4000,3,216.513821,300.00,1.0000,-0.424313,-1.253204,-0.674954,1.933443,1.325046
59,0.8000,1.0,0.2000,0.2000,3,209.186990,216.33,0.6667,0.508011,-2.993261,-0.090641,1.301830,1.324359
60,1.0000,-1.0,0.3000,0.2000,3,135.485577,135.33,0.0000,0.889149,-1.221151,0.644919,1.093704,1.321586
61,0.8000,1.0,0.2000,0.1000,3,294.853239,300.00,1.0000,0.492661,-5.862108,-0.679761,3.314455,1.320239
62,0.4000,1.0,0.4000,0.2000,3,243.063300,300.00,1.0000,0.153181,-4.303715,-0.707562,0.942312,1.292438
63,0.4000,-1.0,0.5000,0.5000,3,73.395991,122.67,0.3333,0.603133,-0.453879,0.512357,0.270041,1.292357
64,0.8000,-1.0,0.5000,0.3000,3,78.982456,90.33,0.0000,0.966120,-0.142061,0.818914,1.189040,1.270581
65,0.6000,-1.0,0.4000,0.2000,3,130.672622,150.33,0.3333,0.518296,-0.844124,0.349471,0.903809,1.267804
66,0.4000,1.0,0.1000,0.5000,3,158.859610,214.00,0.6667,0.013505,-0.878520,-0.162200,1.209696,1.241134
67,0.6000,-1.0,0.1000,0.1000,3,307.251242,300.00,1.0000,0.662689,-7.109910,-0.759293,0.993435,1.240707
68,0.8000,-1.0,0.1000,0.1000,3,305.206638,300.00,1.0000,0.560336,-6.601314,-0.759927,1.376280,1.240073
69,0.4000,-1.0,0.2000,0.2000,3,262.187655,279.33,0.6667,0.260061,-3.788695,-0.497678,0.702764,1.232322
70,0.6000,-1.0,0.4000,0.4000,3,90.072152,116.33,0.3333,0.548303,-0.486447,0.451013,0.461468,1.199347
71,1.0000,1.0,0.5000,0.2000,3,75.504803,83.00,0.0000,0.831586,0.141233,0.775470,0.840789,1.190470
72,0.8000,1.0,0.3000,0.5000,3,143.163339,202.00,0.3333,0.486604,-2.426029,0.001398,1.929192,1.178065
73,0.8000,1.0,0.2000,0.3000,3,217.768928,245.67,0.6667,0.201499,-2.932396,-0.384980,0.366262,1.176687
74,0.6000,-1.0,0.2000,0.4000,3,110.742440,118.33,0.3333,0.798637,-1.908556,0.416926,0.407751,1.175259
75,0.8000,-1.0,0.2000,0.1000,3,294.859357,300.00,1.0000,0.492968,-7.127343,-0.932500,2.060998,1.067500
76,0.6000,-1.0,0.1000,0.3000,3,168.547405,174.00,0.0000,0.588726,-1.980426,0.192641,1.116857,1.062641
77,1.0000,-1.0,0.4000,0.5000,3,75.097553,114.33,0.3333,0.380830,-0.020889,0.314308,0.774913,1.052642
78,0.6000,-1.0,0.2000,0.3000,3,158.128482,169.33,0.3333,0.537253,-2.494717,0.038310,1.188923,1.051643
79,0.4000,1.0,0.4000,0.1000,3,254.635281,300.00,1.0000,0.281764,-6.175309,-0.953298,1.149772,1.046702
80,1.0000,-1.0,0.3000,0.5000,3,131.581331,199.00,0.3333,0.006858,-0.439203,-0.115690,0.693270,1.045977
81,0.6000,-1.0,0.3000,0.5000,3,133.571582,208.33,0.6667,-0.193716,-0.683262,-0.330368,1.393373,1.044632
82,0.4000,-1.0,0.3000,0.2000,3,169.274397,184.67,0.3333,0.430930,-2.423342,-0.053738,0.150776,1.036262
83,0.4000,1.0,0.5000,0.1000,3,223.743675,300.00,1.0000,0.087185,-5.365343,-0.985883,1.827502,1.014117
84,0.4000,-1.0,0.2000,0.4000,3,223.840990,300.00,1.0000,-0.807950,-0.927227,-0.993396,1.269331,1.006604
85,1.0000,1.0,0.4000,0.5000,3,59.315390,74.00,0.0000,0.778648,-0.842048,0.610238,0.489686,0.980238
86,0.8000,-1.0,0.1000,0.5000,3,94.199208,120.00,0.3333,0.261617,-0.308357,0.199945,1.042770,0.966612
87,0.8000,1.0,0.5000,0.2000,3,94.286586,121.33,0.3333,0.405142,-1.061730,0.192796,0.582230,0.966129
88,0.4000,1.0,0.4000,0.3000,3,89.959035,100.67,0.0000,0.709419,-1.239058,0.461607,0.539409,0.964941
89,0.4000,1.0,0.5000,0.3000,3,68.834671,83.33,0.0000,0.658534,-0.569228,0.544688,0.306577,0.961355
90,1.0000,1.0,0.2000,0.2000,3,230.660706,256.00,0.6667,-0.243294,-2.061604,-0.655615,0.994270,0.957718
91,0.4000,-1.0,0.1000,0.1000,3,294.237927,300.00,1.0000,0.011851,-5.422666,-1.072682,0.166200,0.927318
92,0.6000,1.0,0.5000,0.2000,3,62.330746,68.33,0.0000,0.669570,-0.362343,0.579659,1.043406,0.921326
93,0.8000,1.0,0.4000,0.2000,3,147.783398,171.67,0.3333,0.523391,-3.286530,-0.133915,1.937858,0.891085
94,1.0000,-1.0,0.2000,0.2000,3,207.554422,233.00,0.6667,-0.340277,-1.406582,-0.621594,1.127658,0.876739
95,0.6000,-1.0,0.2000,0.1000,3,288.257898,300.00,1.0000,0.163109,-6.638018,-1.164494,1.809705,0.835506
96,0.8000,1.0,0.2000,0.5000,3,159.361024,223.33,0.3333,0.029173,-2.403246,-0.451476,0.630358,0.831857
97,1.0000,1.0,0.5000,0.3000,3,109.829264,168.00,0.3333,-0.048222,-0.635711,-0.226189,0.800490,0.780478
98,0.8000,1.0,0.1000,0.3000,3,46.533843,36.67,0.0000,0.673865,-0.425032,0.588859,0.212292,0.772192
99,0.4000,-1.0,0.3000,0.3000,3,153.857672,190.00,0.3333,-0.097107,-1.288495,-0.354806,0.899589,0.761861
100,0.8000,-1.0,0.5000,0.5000,3,64.796925,107.67,0.0000,0.548219,-1.626317,0.222955,0.362395,0.761289
101,1.0000,1.0,0.1000,0.5000,3,34.429257,28.67,0.0000,0.668595,-0.302793,0.608037,0.103451,0.751370
102,0.8000,-1.0,0.4000,0.3000,3,96.330883,116.33,0.0000,0.454217,-1.186617,0.112875,1.937955,0.694542
103,0.8000,-1.0,0.4000,0.2000,3,79.506844,86.00,0.0000,0.536162,-1.360500,0.264062,0.179751,0.694062
104,0.6000,1.0,0.1000,0.1000,3,293.911060,300.00,1.0000,-0.004610,-6.721375,-1.348885,0.651629,0.651115
105,0.8000,1.0,0.3000,0.3000,3,71.481319,77.00,0.0000,0.417047,-0.767961,0.263455,0.567516,0.648455
106,0.4000,1.0,0.3000,0.5000,3,174.238968,300.00,1.0000,-1.188051,-0.862150,-1.360481,0.054353,0.639519
107,0.6000,1.0,0.1000,0.4000,3,88.930988,97.00,0.0000,0.406167,-1.320267,0.142113,0.835995,0.627113
108,0.4000,1.0,0.4000,0.5000,3,150.934517,300.00,1.0000,-1.303274,-0.387142,-1.380703,0.247772,0.619297
109,0.8000,1.0,0.1000,0.1000,3,294.461686,300.00,1.0000,0.022908,-7.091618,-1.395415,1.522130,0.604585
110,0.8000,1.0,0.2000,0.4000,3,173.947717,224.33,0.6667,-0.278764,-2.903350,-0.859434,1.359567,0.595566
111,1.0000,1.0,0.5000,0.4000,3,79.123395,126.33,0.0000,0.230727,-0.868995,-0.045638,0.145455,0.586029
112,1.0000,-1.0,0.3000,0.4000,3,157.064791,221.33,0.3333,-0.448639,-1.236375,-0.695914,0.427223,0.577420
113,0.4000,1.0,0.5000,0.5000,3,122.733858,300.00,1.0000,-1.363353,-0.354210,-1.434195,0.199554,0.565805
