policy,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
shaped_residual_ppo,10,1968.914945,880.90,0.8000,56.733218,2.487956,56.235626
handcrafted_gait,10,1110.363182,1000.00,1.0000,8.018208,11.212069,5.775794
random,10,-54.037438,180.70,0.1000,0.187714,0.908582,0.005998
vanilla_ppo,10,937.247440,1000.00,1.0000,0.014997,0.084678,-0.001939
residual_ppo,10,903.321970,1000.00,1.0000,-1.807519,5.553772,-2.918273
