condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,10,1761.723546,814.00,0.7000,49.630570,4.583051,48.713960
randomized,10,1454.782903,781.00,0.7000,35.832511,4.196842,34.993143
