condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,10,1761.723546,814.00,0.7000,49.630570,4.583051,48.713960
randomized,10,1391.529170,651.30,0.5000,38.799305,6.373596,37.524586
