condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2353.143577,1000,False,True,70.329123,-0.586025,70.211918
nominal,1,1.000000,1.000000,1.000000,2314.624072,1000,False,True,68.406167,4.044842,67.597198
nominal,2,1.000000,1.000000,1.000000,2250.159342,1000,False,True,65.208642,-3.564798,64.495682
nominal,3,1.000000,1.000000,1.000000,678.262862,299,True,False,19.763294,-6.307117,18.501871
nominal,4,1.000000,1.000000,1.000000,127.007054,70,True,False,3.042432,-2.073965,2.627639
randomized,0,1.054785,0.861872,0.724584,2212.651132,1000,False,True,63.364233,3.276984,62.708836
randomized,1,0.806611,1.187962,1.247653,2153.533785,1000,False,True,60.371946,8.628429,58.646260
randomized,2,1.042654,1.137698,1.026175,434.078648,220,True,False,11.313308,-2.653249,10.782658
randomized,3,1.174029,1.189512,0.701643,2254.085795,1000,False,True,65.425679,-0.599715,65.305736
randomized,4,1.142962,0.720151,1.137793,2227.528394,1000,False,True,64.061614,-4.921613,63.077291
