condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,2012.872901,878.20,0.8000,59.039536,2.607338,58.518069
randomized,5,1468.365774,680.00,0.6000,41.231572,5.026999,40.226172
