condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2254.650771,1000,False,True,65.347681,1.072617,65.133158
nominal,1,1.000000,1.000000,1.000000,896.258405,391,True,False,26.291523,-2.955383,25.700447
nominal,2,1.000000,1.000000,1.000000,2265.753891,1000,False,True,65.944172,-4.528871,65.038398
nominal,3,1.000000,1.000000,1.000000,2318.822417,1000,False,True,68.562374,-2.003189,68.161736
nominal,4,1.000000,1.000000,1.000000,2328.879024,1000,False,True,69.051931,-2.476628,68.556605
randomized,0,1.000000,1.000000,1.000000,2254.650771,1000,False,True,65.347681,1.072617,65.133158
randomized,1,1.000000,1.000000,1.000000,896.258405,391,True,False,26.291523,-2.955383,25.700447
randomized,2,1.000000,1.000000,1.000000,2265.753891,1000,False,True,65.944172,-4.528871,65.038398
randomized,3,1.000000,1.000000,1.000000,2318.822417,1000,False,True,68.562374,-2.003189,68.161736
randomized,4,1.000000,1.000000,1.000000,2328.879024,1000,False,True,69.051931,-2.476628,68.556605
