condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2249.599030,1000,False,True,65.084111,-4.496090,64.184893
nominal,1,1.000000,1.000000,1.000000,2285.565773,1000,False,True,66.874536,-1.665544,66.541427
nominal,2,1.000000,1.000000,1.000000,2209.258694,1000,False,True,63.080483,-3.194093,62.441664
nominal,3,1.000000,1.000000,1.000000,2195.954559,1000,False,True,62.437491,-0.200135,62.397464
nominal,4,1.000000,1.000000,1.000000,1075.633930,490,True,False,30.557297,-0.356042,30.486089
randomized,0,1.109569,0.769787,0.540974,2220.241167,1000,False,True,63.632049,-4.725657,62.686918
randomized,1,0.613222,1.313270,1.412756,2152.587054,1000,False,True,60.248645,5.923124,59.064020
randomized,2,1.085309,1.229497,1.043625,2232.668350,1000,False,True,64.264805,-2.911269,63.682551
randomized,3,1.348058,1.315854,0.502739,2196.227139,1000,False,True,62.412393,-3.547407,61.702912
randomized,4,1.285923,0.533586,1.229655,2174.594219,1000,False,True,61.345032,-3.449540,60.655124
