condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,1726.767752,753.40,0.6000,50.736848,2.663467,50.204155
randomized,5,1333.135537,616.80,0.4000,37.528429,5.057866,36.516856
