condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,2128.957927,951.60,0.8000,61.358495,1.699317,61.018632
randomized,5,1565.362996,726.20,0.6000,43.878766,3.357556,43.207255
