condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,1939.723947,835.80,0.8000,57.507116,4.351970,56.636722
randomized,5,1826.654063,814.00,0.8000,52.881695,4.234298,52.034835
