condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2273.007786,1000,False,True,66.223363,-5.676832,65.087996
nominal,1,1.000000,1.000000,1.000000,2286.125824,1000,False,True,66.884044,-3.382566,66.207531
nominal,2,1.000000,1.000000,1.000000,2257.508915,1000,False,True,65.457499,-4.954924,64.466514
nominal,3,1.000000,1.000000,1.000000,1014.032174,1000,False,True,3.306418,-0.600354,3.186347
nominal,4,1.000000,1.000000,1.000000,2277.858744,1000,False,True,66.458426,-1.578763,66.142673
randomized,0,1.109569,0.769787,0.540974,2179.490798,1000,False,True,61.545207,-3.942521,60.756703
randomized,1,0.613222,1.313270,1.412756,335.729028,165,True,False,8.957598,-3.104759,8.336646
randomized,2,1.085309,1.229497,1.043625,2231.780357,1000,False,True,64.194998,-6.200800,62.954838
randomized,3,1.348058,1.315854,0.502739,1051.619947,510,True,False,28.427951,-1.919131,28.044125
randomized,4,1.285923,0.533586,1.229655,2201.737259,1000,False,True,62.699554,-7.053097,61.288935
