condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,1816.180595,818.00,0.8000,52.099818,3.334796,51.432859
randomized,5,1816.180595,818.00,0.8000,52.099818,3.334796,51.432859
