condition,episodes,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score
nominal,5,2012.872901,878.20,0.8000,59.039536,2.607338,58.518069
randomized,5,1801.230583,811.80,0.8000,51.631039,3.017720,51.027495
